Unnamed: 0,Unnamed: 1,Q105_1,Q105_2,Q105_3,Q105_4,Q105_5,Q105_6,Q105_7,Q105_8,Q105_9,Q105_10,Q105_11,Q105_12,Q105_13,Q105_14,Q105_15,Q105_16,Q105_17,Q105_18,Q105_19,Q105_20,Q105_21,Q105_22,Q105_23,Q105_24,Q105_25,Q105_26,Q105_27,Q105_28,Q105_29,Q105_30,Q105_31,Q105_32,Q105_33,Q105_34,MAx1,Max2,Max3,Scenario 1 ,Unnamed: 40,Scenario 2 ,Unnamed: 42,Scenario 3 ,Unnamed: 44,Scenario 4,Unnamed: 46,Scenario 5 ,Unnamed: 48
"LWDMI Choice_June 13, 2024_13.18",15,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,3,5,5,5,2,2,2,5,3,3,5,5,3,5,5,4,50.0,34.0,44.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0
"LWDMI Choice_June 13, 2024_13.19",16,6,5,5,5,5,5,6,6,4,3,4,5,5,5,3,4,3,3,4,5,5,3,4,4,4,4,4,5,4,5,4,4,5,3,50.0,49.0,50.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0
"LWDMI Choice_June 13, 2024_13.20",17,4,6,5,6,5,4,5,5,6,5,6,5,4,1,2,2,2,3,4,4,5,5,6,5,4,5,5,4,5,4,5,6,5,6,51.0,43.0,60.0,10.0,2.0,5.0,3.0,0.0,3.0,8.0,3.0,7.0,5.0
"LWDMI Choice_June 13, 2024_13.21",18,6,6,6,5,6,2,4,5,3,4,1,3,2,1,1,1,1,2,1,1,4,3,5,4,6,6,6,6,6,6,5,6,4,4,47.0,21.0,64.0,10.0,7.0,10.0,0.0,7.0,10.0,10.0,0.0,10.0,10.0
"LWDMI Choice_June 13, 2024_13.22",19,3,6,6,6,1,1,5,4,4,2,5,2,6,1,6,4,5,2,6,6,5,3,6,1,3,5,1,6,4,1,5,1,3,4,38.0,51.0,40.0,9.0,10.0,6.0,3.0,0.0,0.0,9.0,10.0,0.0,7.0
"LWDMI Choice_June 13, 2024_13.23",20,1,6,2,2,2,5,3,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,2,5,5,4,6,4,2,1,4,6,4,29.0,17.0,44.0,8.0,5.0,3.0,8.0,0.0,0.0,2.0,1.0,10.0,8.0
"LWDMI Choice_June 13, 2024_13.24",21,5,6,6,4,5,6,3,5,5,3,2,5,4,3,2,2,3,2,2,3,4,3,5,5,4,4,5,5,5,5,4,5,5,4,48.0,35.0,56.0,8.0,4.0,9.0,10.0,1.0,0.0,8.0,1.0,10.0,6.0
"LWDMI Choice_June 13, 2024_13.25",22,6,6,4,5,5,5,6,6,4,5,4,2,2,3,3,4,2,4,4,2,2,3,4,5,3,3,2,3,3,1,4,4,4,3,52.0,35.0,39.0,8.0,6.0,6.0,7.0,3.0,3.0,7.0,3.0,9.0,5.0
"LWDMI Choice_June 13, 2024_13.26",23,6,6,5,5,6,3,6,6,5,5,2,5,4,6,3,3,4,3,6,4,5,3,6,6,4,4,5,5,5,5,5,6,5,5,53.0,48.0,61.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,7.0,10.0,0.0
"LWDMI Choice_June 13, 2024_13.27",24,4,3,2,3,2,5,3,3,3,3,3,3,5,4,3,5,3,4,3,2,3,2,3,2,2,3,2,2,2,2,3,2,2,2,31.0,40.0,27.0,7.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0
"LWDMI Choice_June 13, 2024_13.28",25,4,5,4,5,4,5,5,4,4,5,5,5,6,6,5,4,5,5,5,4,5,4,4,4,5,5,4,5,5,5,4,4,5,6,45.0,59.0,56.0,7.0,9.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0
"LWDMI Choice_June 13, 2024_13.29",26,4,6,5,4,4,6,4,4,4,6,2,1,1,2,2,2,3,2,2,1,4,5,3,6,4,4,1,5,1,1,3,4,4,4,47.0,27.0,40.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0
"LWDMI Choice_June 13, 2024_13.30",27,5,5,5,5,5,5,5,5,5,5,5,4,6,5,5,5,5,5,4,5,5,5,5,5,5,5,6,4,6,5,5,5,5,5,50.0,59.0,61.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0
"LWDMI Choice_June 13, 2024_13.31",28,5,5,4,5,5,5,4,5,4,5,5,4,5,5,4,5,4,4,5,5,4,5,5,4,4,5,5,4,4,5,6,5,4,5,47.0,55.0,56.0,9.0,7.0,3.0,8.0,3.0,7.0,7.0,7.0,4.0,5.0
"LWDMI Choice_June 13, 2024_13.32",29,6,6,6,6,3,5,3,6,5,6,1,2,2,1,1,1,1,1,1,1,4,6,1,1,2,1,2,3,2,2,3,1,4,1,52.0,22.0,23.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0
"LWDMI Choice_June 13, 2024_13.33",30,5,5,5,4,5,4,4,5,4,5,2,2,2,2,2,2,2,3,3,2,3,4,4,3,4,4,3,4,3,3,4,4,4,4,46.0,29.0,44.0,8.0,8.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,5.0
"LWDMI Choice_June 13, 2024_13.34",31,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,48.0,59.0,58.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0
"LWDMI Choice_June 13, 2024_13.35",32,3,6,5,4,5,5,6,5,4,5,5,6,3,6,3,3,4,3,5,6,3,1,4,5,4,5,3,5,1,1,4,6,4,5,48.0,48.0,47.0,8.0,8.0,4.0,6.0,1.0,1.0,9.0,9.0,7.0,0.0
"LWDMI Choice_June 13, 2024_13.36",33,6,6,6,6,6,6,3,1,3,4,4,5,6,5,5,6,5,5,5,5,5,5,6,5,6,4,6,6,5,6,5,6,5,5,47.0,61.0,65.0,4.0,10.0,10.0,7.0,10.0,7.0,3.0,10.0,9.0,1.0
"LWDMI Choice_June 13, 2024_13.37",34,5,4,3,4,3,4,5,4,4,3,4,5,4,4,3,3,4,5,4,4,3,4,4,5,3,4,5,4,2,3,5,4,3,4,39.0,47.0,46.0,8.0,3.0,7.0,8.0,8.0,2.0,8.0,3.0,7.0,2.0
"LWDMI Choice_June 13, 2024_13.38",35,5,5,4,4,5,5,5,4,4,5,3,4,3,2,2,3,2,3,4,2,4,2,5,2,4,5,5,4,4,3,5,5,5,4,46.0,34.0,51.0,8.0,9.0,5.0,6.0,0.0,2.0,7.0,1.0,3.0,2.0
"LWDMI Choice_June 13, 2024_13.39",36,3,5,4,4,3,5,4,6,5,3,3,4,4,2,2,3,3,3,5,3,4,5,4,1,2,3,3,4,2,1,1,3,2,4,42.0,41.0,30.0,2.0,8.0,1.0,1.0,2.0,1.0,3.0,6.0,8.0,8.0
"LWDMI Choice_June 13, 2024_13.40",37,6,6,6,6,6,4,6,6,3,6,3,6,3,3,2,2,3,2,6,1,3,3,6,6,6,6,6,6,6,6,6,6,6,6,55.0,37.0,72.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0
"LWDMI Choice_June 13, 2024_13.41",38,3,6,6,6,6,5,6,6,5,6,1,2,3,1,2,3,1,2,2,2,3,5,3,4,4,4,3,3,3,3,4,4,4,3,55.0,27.0,42.0,8.0,8.0,3.0,9.0,0.0,0.0,8.0,8.0,10.0,10.0
"LWDMI Choice_June 13, 2024_13.42",39,6,6,6,6,6,6,2,6,6,6,1,5,6,1,2,1,3,2,4,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,56.0,33.0,72.0,10.0,10.0,7.0,5.0,1.0,9.0,10.0,9.0,2.0,0.0
"LWDMI Choice_June 13, 2024_13.43",40,5,6,4,4,6,6,6,6,2,2,1,6,5,5,2,2,4,4,5,2,5,1,5,5,4,4,2,2,1,1,5,4,1,5,47.0,42.0,39.0,1.0,10.0,1.0,9.0,1.0,8.0,7.0,1.0,3.0,9.0
"LWDMI Choice_June 13, 2024_13.45",42,4,4,5,3,6,3,5,4,5,4,4,5,5,3,6,3,5,4,5,3,6,3,6,4,5,4,5,4,5,3,4,5,5,5,43.0,52.0,55.0,9.0,10.0,10.0,10.0,0.0,0.0,10.0,8.0,10.0,2.0
"LWDMI Choice_June 13, 2024_13.46",43,6,6,4,6,5,4,2,6,3,6,3,2,1,1,1,1,1,1,2,1,2,5,1,3,1,6,3,2,3,4,4,6,6,5,48.0,21.0,44.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0
"LWDMI Choice_June 13, 2024_13.47",44,5,4,5,5,4,5,3,5,5,4,5,6,4,5,4,5,3,5,5,4,5,4,5,5,4,5,3,5,5,5,4,3,5,5,45.0,55.0,54.0,1.0,8.0,9.0,10.0,1.0,5.0,10.0,7.0,7.0,8.0
"LWDMI Choice_June 13, 2024_13.48",45,6,6,6,6,6,6,6,6,6,6,1,2,1,1,1,1,2,1,1,1,1,6,5,1,5,5,4,5,3,4,5,6,4,5,60.0,19.0,52.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,7.0,1.0,7.0
"LWDMI Choice_June 13, 2024_13.49",46,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,60.0,72.0,72.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0
"LWDMI Choice_June 13, 2024_13.50",47,3,4,4,5,5,6,5,5,4,4,5,4,5,4,4,5,4,4,5,5,4,2,4,4,5,5,4,5,5,6,5,5,4,4,45.0,51.0,56.0,8.0,8.0,1.0,8.0,7.0,2.0,8.0,7.0,3.0,8.0
"LWDMI Choice_June 13, 2024_13.51",48,5,4,4,5,3,4,5,4,4,5,5,4,5,4,4,5,5,4,6,5,5,4,4,6,4,5,4,5,4,4,5,4,5,5,43.0,56.0,55.0,1.0,8.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
"LWDMI Choice_June 13, 2024_13.52",49,3,6,6,5,5,5,6,5,4,6,1,2,2,2,1,2,2,1,2,2,5,4,4,2,3,5,2,5,2,2,5,4,4,2,51.0,26.0,40.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,6.0,0.0,8.0
"LWDMI Choice_June 13, 2024_13.53",50,3,6,2,5,4,6,4,6,5,4,3,5,3,4,3,4,5,4,5,3,5,4,5,4,3,5,3,5,4,5,5,4,5,3,45.0,48.0,51.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,7.0,2.0
"LWDMI Choice_June 13, 2024_13.57",54,4,5,4,5,4,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,5,4,5,4,5,4,5,45.0,54.0,54.0,6.0,5.0,6.0,3.0,3.0,8.0,5.0,5.0,5.0,6.0
"LWDMI Choice_June 13, 2024_13.58",55,5,5,6,4,5,5,3,4,5,5,2,2,3,2,3,4,3,4,5,3,5,3,5,5,5,5,3,4,3,3,5,4,4,5,47.0,39.0,51.0,8.0,7.0,8.0,3.0,1.0,1.0,8.0,2.0,7.0,2.0
"LWDMI Choice_June 13, 2024_13.59",56,6,6,5,6,6,5,6,6,4,5,2,4,5,6,5,5,4,5,5,6,2,4,6,5,5,5,4,5,4,4,5,6,6,6,55.0,53.0,61.0,10.0,10.0,8.0,9.0,3.0,1.0,9.0,10.0,9.0,4.0
"LWDMI Choice_June 13, 2024_13.60",57,6,6,6,6,6,6,6,6,5,3,3,6,6,3,6,6,3,4,5,6,6,1,6,4,4,4,5,6,5,6,5,6,6,5,56.0,55.0,62.0,9.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,8.0
"LWDMI Choice_June 13, 2024_13.61",58,5,5,3,4,4,3,5,5,4,4,3,4,5,2,3,4,4,5,5,4,3,2,5,5,4,4,3,5,5,4,3,4,5,5,42.0,44.0,52.0,2.0,7.0,6.0,7.0,7.0,3.0,6.0,2.0,7.0,7.0
"LWDMI Choice_June 13, 2024_13.62",59,4,6,6,4,6,5,5,3,4,6,1,3,3,1,2,3,2,2,4,2,3,4,6,5,5,6,4,5,3,3,6,4,5,4,49.0,30.0,56.0,10.0,10.0,6.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0
"LWDMI Choice_June 13, 2024_13.63",60,4,6,5,5,5,6,6,5,5,6,2,4,1,4,5,5,1,4,4,5,6,1,1,2,1,1,1,2,1,1,2,3,2,1,53.0,42.0,18.0,10.0,8.0,2.0,0.0,0.0,0.0,10.0,3.0,10.0,8.0
"LWDMI Choice_June 13, 2024_13.64",61,4,5,4,4,5,4,4,5,5,4,2,4,4,3,3,4,3,3,2,3,3,3,3,3,4,4,2,4,4,3,4,4,4,4,44.0,37.0,43.0,6.0,4.0,6.0,3.0,1.0,6.0,7.0,4.0,4.0,1.0
"LWDMI Choice_June 13, 2024_13.65",62,5,6,5,5,6,6,6,6,4,5,2,5,4,2,2,2,2,4,4,1,3,3,4,2,3,4,1,4,1,1,2,4,3,3,54.0,34.0,32.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,9.0,8.0,7.0
"LWDMI Choice_June 13, 2024_13.66",63,1,2,4,3,2,3,3,3,3,2,3,3,3,2,3,3,3,6,6,4,4,6,3,4,5,5,5,4,4,4,5,5,3,6,26.0,46.0,53.0,7.0,8.0,8.0,8.0,9.0,8.0,7.0,7.0,8.0,7.0
"LWDMI Choice_June 13, 2024_13.67",64,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,5,6,5,6,60.0,72.0,68.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0
"LWDMI Choice_June 13, 2024_13.68",65,5,6,6,5,4,4,5,5,4,5,5,5,4,4,5,4,4,4,5,5,4,5,5,4,4,5,4,5,4,5,5,3,4,4,49.0,54.0,52.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0
"LWDMI Choice_June 13, 2024_13.69",66,4,5,4,5,4,5,4,4,3,4,3,4,5,4,4,4,3,5,4,4,3,4,5,4,4,4,3,5,4,4,3,5,4,4,42.0,47.0,49.0,8.0,2.0,9.0,8.0,8.0,7.0,9.0,3.0,8.0,8.0
"LWDMI Choice_June 13, 2024_13.70",67,5,4,5,6,4,5,6,5,4,6,5,5,4,5,6,6,4,5,6,5,6,5,6,5,4,5,6,5,4,5,6,5,4,5,50.0,62.0,60.0,9.0,8.0,9.0,7.0,9.0,10.0,9.0,9.0,8.0,9.0
"LWDMI Choice_June 13, 2024_13.71",68,5,4,4,5,4,5,5,4,5,5,4,5,4,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,46.0,53.0,54.0,8.0,8.0,8.0,8.0,7.0,7.0,9.0,8.0,7.0,8.0
"LWDMI Choice_June 13, 2024_13.72",69,5,5,5,4,4,5,6,6,5,6,4,5,4,4,3,3,3,5,5,4,5,5,3,6,3,3,4,3,5,5,4,4,5,5,51.0,50.0,50.0,7.0,8.0,5.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0
"LWDMI Choice_June 13, 2024_13.73",70,6,6,6,6,1,6,3,4,3,5,1,5,5,1,3,2,4,1,6,1,6,4,6,6,6,6,6,6,6,6,6,6,6,6,46.0,39.0,72.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,5.0
"LWDMI Choice_June 13, 2024_13.74",71,5,5,4,5,5,6,6,3,4,5,2,3,2,4,3,2,2,2,4,3,3,5,4,2,5,5,4,5,5,5,5,5,5,3,48.0,35.0,53.0,9.0,10.0,9.0,1.0,0.0,8.0,9.0,5.0,9.0,0.0
"LWDMI Choice_June 13, 2024_13.75",72,5,5,3,6,3,5,2,4,6,3,4,6,3,5,3,5,4,4,6,3,3,6,3,1,5,4,6,2,5,4,2,4,3,6,42.0,52.0,45.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0
"LWDMI Choice_June 13, 2024_13.77",74,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,60.0,72.0,72.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,4.0
"LWDMI Choice_June 13, 2024_13.78",75,3,5,4,5,3,6,4,1,5,3,5,3,6,3,6,3,6,2,4,5,3,5,3,6,3,5,3,5,3,5,3,6,3,5,39.0,51.0,50.0,10.0,7.0,8.0,6.0,4.0,8.0,8.0,7.0,7.0,7.0
"LWDMI Choice_June 13, 2024_13.79",76,5,6,5,3,3,2,4,5,4,5,5,4,5,3,5,4,6,4,6,4,4,6,6,5,4,5,6,4,6,4,6,4,5,6,42.0,56.0,61.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0
"LWDMI Choice_June 13, 2024_13.80",77,5,5,3,5,6,5,5,6,3,4,2,4,5,2,2,3,4,4,5,1,4,2,3,1,6,6,5,5,5,5,4,6,6,5,47.0,38.0,57.0,10.0,8.0,8.0,3.0,1.0,0.0,7.0,1.0,8.0,1.0
"LWDMI Choice_June 13, 2024_13.82",79,4,6,5,5,6,5,6,6,4,6,1,4,3,1,2,3,3,3,4,2,4,3,4,5,4,5,3,3,3,2,4,5,4,5,53.0,33.0,47.0,4.0,6.0,9.0,7.0,1.0,3.0,9.0,9.0,9.0,7.0
"LWDMI Choice_June 13, 2024_13.83",80,3,3,4,4,3,5,4,4,4,4,3,3,3,2,3,4,3,3,3,3,4,4,4,4,3,3,4,3,3,4,3,3,4,2,38.0,38.0,40.0,8.0,6.0,8.0,7.0,6.0,2.0,7.0,6.0,6.0,8.0
"LWDMI Choice_June 13, 2024_13.84",81,5,6,6,5,4,5,6,5,4,5,6,5,4,5,6,5,4,5,6,5,4,5,6,5,4,5,6,5,4,5,6,5,4,6,51.0,60.0,61.0,9.0,10.0,10.0,0.0,9.0,9.0,10.0,10.0,10.0,10.0
"LWDMI Choice_June 13, 2024_13.85",82,3,5,5,3,4,4,4,4,4,4,5,6,5,4,6,5,5,4,4,3,3,2,5,5,5,5,2,3,2,5,5,6,4,2,40.0,52.0,49.0,10.0,10.0,10.0,9.0,1.0,0.0,9.0,9.0,9.0,10.0
"LWDMI Choice_June 13, 2024_13.86",83,5,5,5,6,5,5,5,6,5,5,2,2,2,5,2,4,4,4,2,5,5,2,5,5,5,5,6,6,6,4,4,4,4,4,52.0,39.0,58.0,9.0,10.0,10.0,0.0,8.0,9.0,10.0,10.0,8.0,9.0
"LWDMI Choice_June 13, 2024_13.87",84,5,4,5,4,5,4,5,4,5,4,5,1,5,4,5,4,6,4,5,4,5,4,5,4,3,4,5,4,3,5,4,5,4,5,45.0,52.0,51.0,2.0,9.0,1.0,10.0,1.0,1.0,8.0,10.0,9.0,9.0
"LWDMI Choice_June 13, 2024_13.88",85,5,4,4,3,5,4,5,3,4,3,5,5,4,4,4,3,5,4,4,3,4,4,4,5,4,5,4,4,3,4,4,4,4,5,40.0,49.0,50.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,7.0,7.0
"LWDMI Choice_June 13, 2024_13.89",86,5,5,5,5,4,5,4,5,2,4,2,2,3,3,2,2,3,3,4,3,2,3,4,3,4,5,4,2,4,4,4,4,4,5,44.0,32.0,47.0,4.0,4.0,4.0,7.0,4.0,7.0,7.0,7.0,7.0,4.0
"LWDMI Choice_June 13, 2024_13.90",87,5,2,3,5,3,4,6,3,2,4,5,2,4,3,5,2,5,3,4,3,5,3,5,3,5,3,6,5,3,5,3,5,3,5,37.0,44.0,51.0,7.0,6.0,7.0,3.0,4.0,7.0,7.0,4.0,4.0,8.0
"LWDMI Choice_June 13, 2024_13.91",88,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,55.0,66.0,66.0,7.0,6.0,6.0,3.0,6.0,6.0,10.0,10.0,10.0,9.0
"LWDMI Choice_June 13, 2024_13.92",89,4,5,4,4,5,3,4,4,4,4,2,2,3,2,2,2,2,3,3,2,3,4,4,4,4,4,3,4,3,3,4,5,4,4,41.0,30.0,46.0,8.0,4.0,7.0,6.0,1.0,2.0,10.0,10.0,8.0,6.0
"LWDMI Choice_June 13, 2024_13.94",91,5,3,4,5,5,4,5,6,5,3,4,5,5,4,5,6,1,4,5,4,5,5,4,4,5,6,5,4,5,6,3,4,5,5,45.0,53.0,56.0,9.0,8.0,9.0,8.0,7.0,8.0,9.0,10.0,9.0,10.0
"LWDMI Choice_June 13, 2024_13.95",92,6,5,5,6,4,6,5,5,6,4,6,5,6,5,5,4,6,4,6,4,5,3,6,5,5,6,4,6,5,6,5,5,4,6,52.0,59.0,63.0,1.0,10.0,10.0,4.0,9.0,1.0,9.0,10.0,2.0,0.0
"LWDMI Choice_June 13, 2024_13.96",93,5,6,5,5,6,5,6,5,5,6,5,5,6,5,6,6,5,6,5,5,6,5,6,5,5,6,5,5,6,5,6,5,5,6,54.0,65.0,65.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0
"LWDMI Choice_June 13, 2024_13.98",95,4,5,5,4,4,5,3,4,4,5,2,4,3,2,2,3,3,2,3,3,3,4,3,4,4,4,4,4,4,5,5,5,4,4,43.0,34.0,50.0,9.0,6.0,6.0,4.0,5.0,4.0,8.0,2.0,4.0,1.0
"LWDMI Choice_June 13, 2024_13.100",97,5,5,6,4,5,5,5,5,5,4,5,5,5,5,6,6,5,5,6,5,5,6,5,5,6,5,5,6,5,5,6,6,6,6,49.0,64.0,66.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,5.0,6.0
"LWDMI Choice_June 13, 2024_13.101",98,4,3,5,4,4,5,3,3,5,6,4,5,4,4,6,5,6,5,5,4,1,4,5,6,5,4,5,5,3,6,4,5,5,6,42.0,53.0,59.0,9.0,8.0,9.0,9.0,8.0,2.0,10.0,10.0,9.0,10.0
"LWDMI Choice_June 13, 2024_13.102",99,5,4,6,5,5,6,5,6,5,5,6,5,6,5,5,6,4,5,4,5,6,5,5,6,5,5,6,5,6,5,6,5,6,6,52.0,62.0,66.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0
"LWDMI Choice_June 13, 2024_13.103",100,5,3,4,5,3,2,5,4,3,5,4,2,5,3,5,4,3,5,4,2,5,4,3,5,2,4,5,3,5,4,2,5,4,5,39.0,46.0,47.0,8.0,8.0,9.0,8.0,8.0,4.0,7.0,9.0,4.0,8.0
"LWDMI Choice_June 13, 2024_13.104",101,3,6,6,5,6,6,4,3,5,6,4,5,6,6,1,6,6,5,4,6,2,3,6,4,6,4,5,6,6,6,5,6,6,4,50.0,54.0,64.0,10.0,9.0,8.0,8.0,9.0,7.0,8.0,8.0,9.0,9.0
"LWDMI Choice_June 13, 2024_13.105",102,6,4,3,3,4,5,4,6,5,4,3,4,5,5,6,4,6,5,2,4,5,6,5,4,3,4,5,5,6,5,4,4,5,6,44.0,55.0,56.0,10.0,9.0,8.0,7.0,8.0,8.0,8.0,8.0,10.0,9.0
"LWDMI Choice_June 13, 2024_13.106",103,5,5,5,5,5,3,4,5,4,4,2,3,2,2,2,2,2,2,3,2,2,5,4,2,3,3,2,3,2,2,4,4,3,4,45.0,29.0,36.0,9.0,8.0,2.0,6.0,1.0,1.0,10.0,2.0,8.0,4.0
"LWDMI Choice_June 13, 2024_13.107",104,5,5,5,4,5,4,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,46.0,59.0,60.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0
